,data_type,missing_count,missing_percent,unique_count
CustomerID,int64,0,0.0,5630
Churn,int64,0,0.0,2
Tenure,float64,264,4.69,37
PreferredLoginDevice,object,0,0.0,3
CityTier,int64,0,0.0,3
WarehouseToHome,float64,251,4.46,35
PreferredPaymentMode,object,0,0.0,7
Gender,object,0,0.0,2
HourSpendOnApp,float64,255,4.53,7
NumberOfDeviceRegistered,int64,0,0.0,6
PreferedOrderCat,object,0,0.0,6
SatisfactionScore,int64,0,0.0,5
MaritalStatus,object,0,0.0,3
NumberOfAddress,int64,0,0.0,15
Complain,int64,0,0.0,2
OrderAmountHikeFromlastYear,float64,265,4.71,17
CouponUsed,float64,256,4.55,18
OrderCount,float64,258,4.58,17
DaySinceLastOrder,float64,307,5.45,23
CashbackAmount,float64,0,0.0,2586
